2026-01-10 20:23:41.712 | INFO     | app.services.recommendation_service:get_user_vector:210 - ✅ User 69241cbe006d259dc5ee4382: 19 embeddings → user vector ready
2026-01-10 20:23:41.720 | INFO     | app.services.recommendation_service:recommend:410 - 📰 Recommend 69241cbe006d259dc5ee4382: 19 interactions, 200 posts, page 2
2026-01-10 20:23:42.942 | INFO     | app.services.recommendation_service:get_user_vector:160 - 👤 User 69241cbe006d259dc5ee4382: Found 38 interacted posts
2026-01-10 20:23:42.945 | INFO     | app.services.recommendation_service:get_user_vector:210 - ✅ User 69241cbe006d259dc5ee4382: 19 embeddings → user vector ready
2026-01-10 20:23:42.952 | INFO     | app.services.recommendation_service:recommend:410 - 📰 Recommend 69241cbe006d259dc5ee4382: 19 interactions, 200 posts, page 1
2026-01-10 20:24:00.686 | INFO     | app.services.recommendation_service:get_user_vector:160 - 👤 User 69241cbe006d259dc5ee4382: Found 38 interacted posts
2026-01-10 20:24:00.689 | INFO     | app.services.recommendation_service:get_user_vector:210 - ✅ User 69241cbe006d259dc5ee4382: 19 embeddings → user vector ready
2026-01-10 20:24:00.694 | INFO     | app.services.recommendation_service:recommend:410 - 📰 Recommend 69241cbe006d259dc5ee4382: 19 interactions, 200 posts, page 2
2026-01-10 20:24:03.863 | INFO     | app.services.recommendation_service:get_user_vector:160 - 👤 User 69241d0d006d259dc5ee4387: Found 15 interacted posts
2026-01-10 20:24:03.864 | INFO     | app.services.recommendation_service:get_user_vector:210 - ✅ User 69241d0d006d259dc5ee4387: 8 embeddings → user vector ready
2026-01-10 20:24:03.870 | INFO     | app.services.recommendation_service:recommend:410 - 📰 Recommend 69241d0d006d259dc5ee4387: 8 interactions, 200 posts, page 1
2026-01-10 20:24:10.904 | INFO     | app.services.recommendation_service:get_user_vector:160 - 👤 User 69241cbe006d259dc5ee4382: Found 38 interacted posts
2026-01-10 20:24:10.906 | INFO     | app.services.recommendation_service:get_user_vector:210 - ✅ User 69241cbe006d259dc5ee4382: 19 embeddings → user vector ready
2026-01-10 20:24:10.911 | INFO     | app.services.recommendation_service:recommend:410 - 📰 Recommend 69241cbe006d259dc5ee4382: 19 interactions, 200 posts, page 2
2026-01-10 20:24:19.032 | INFO     | app.services.recommendation_service:get_user_vector:160 - 👤 User 69241d0d006d259dc5ee4387: Found 15 interacted posts
2026-01-10 20:24:19.034 | INFO     | app.services.recommendation_service:get_user_vector:210 - ✅ User 69241d0d006d259dc5ee4387: 8 embeddings → user vector ready
2026-01-10 20:24:19.041 | INFO     | app.services.recommendation_service:recommend:410 - 📰 Recommend 69241d0d006d259dc5ee4387: 8 interactions, 200 posts, page 2
2026-01-10 20:25:03.125 | INFO     | app.services.recommendation_service:get_user_vector:160 - 👤 User 69241cbe006d259dc5ee4382: Found 38 interacted posts
2026-01-10 20:25:03.127 | INFO     | app.services.recommendation_service:get_user_vector:210 - ✅ User 69241cbe006d259dc5ee4382: 19 embeddings → user vector ready
2026-01-10 20:25:03.135 | INFO     | app.services.recommendation_service:recommend:410 - 📰 Recommend 69241cbe006d259dc5ee4382: 19 interactions, 200 posts, page 1
2026-01-10 20:25:04.050 | INFO     | app.services.recommendation_service:get_user_vector:160 - 👤 User 69241d0d006d259dc5ee4387: Found 15 interacted posts
2026-01-10 20:25:04.053 | INFO     | app.services.recommendation_service:get_user_vector:210 - ✅ User 69241d0d006d259dc5ee4387: 8 embeddings → user vector ready
2026-01-10 20:25:04.059 | INFO     | app.services.recommendation_service:recommend:410 - 📰 Recommend 69241d0d006d259dc5ee4387: 8 interactions, 200 posts, page 1
2026-01-10 20:25:30.123 | INFO     | app.services.recommendation_service:get_user_vector:160 - 👤 User 69241cbe006d259dc5ee4382: Found 38 interacted posts
2026-01-10 20:25:30.125 | INFO     | app.services.recommendation_service:get_user_vector:210 - ✅ User 69241cbe006d259dc5ee4382: 19 embeddings → user vector ready
2026-01-10 20:25:30.133 | INFO     | app.services.recommendation_service:recommend:410 - 📰 Recommend 69241cbe006d259dc5ee4382: 19 interactions, 200 posts, page 1
2026-01-10 20:25:38.449 | INFO     | app.services.recommendation_service:get_user_vector:160 - 👤 User 69241cbe006d259dc5ee4382: Found 38 interacted posts
2026-01-10 20:25:38.452 | INFO     | app.services.recommendation_service:get_user_vector:210 - ✅ User 69241cbe006d259dc5ee4382: 19 embeddings → user vector ready
2026-01-10 20:25:38.462 | INFO     | app.services.recommendation_service:recommend:410 - 📰 Recommend 69241cbe006d259dc5ee4382: 19 interactions, 200 posts, page 2
2026-01-10 20:25:49.589 | INFO     | app.services.recommendation_service:get_user_vector:160 - 👤 User 69241d0d006d259dc5ee4387: Found 15 interacted posts
2026-01-10 20:25:49.591 | INFO     | app.services.recommendation_service:get_user_vector:210 - ✅ User 69241d0d006d259dc5ee4387: 8 embeddings → user vector ready
2026-01-10 20:25:49.599 | INFO     | app.services.recommendation_service:recommend:410 - 📰 Recommend 69241d0d006d259dc5ee4387: 8 interactions, 200 posts, page 1
2026-01-10 20:35:36.682 | INFO     | app.services.recommendation_service:get_user_vector:160 - 👤 User 69241d0d006d259dc5ee4387: Found 16 interacted posts
2026-01-10 20:35:36.684 | INFO     | app.services.recommendation_service:get_user_vector:210 - ✅ User 69241d0d006d259dc5ee4387: 9 embeddings → user vector ready
2026-01-10 20:35:36.690 | INFO     | app.services.recommendation_service:recommend:410 - 📰 Recommend 69241d0d006d259dc5ee4387: 9 interactions, 200 posts, page 1
2026-01-10 20:45:35.582 | INFO     | app.services.recommendation_service:get_user_vector:160 - 👤 User 69241cbe006d259dc5ee4382: Found 38 interacted posts
2026-01-10 20:45:35.586 | INFO     | app.services.recommendation_service:get_user_vector:210 - ✅ User 69241cbe006d259dc5ee4382: 19 embeddings → user vector ready
2026-01-10 20:45:35.596 | INFO     | app.services.recommendation_service:recommend:410 - 📰 Recommend 69241cbe006d259dc5ee4382: 19 interactions, 200 posts, page 1
2026-01-10 20:45:37.726 | INFO     | app.services.recommendation_service:get_user_vector:160 - 👤 User 69241cbe006d259dc5ee4382: Found 38 interacted posts
2026-01-10 20:45:37.729 | INFO     | app.services.recommendation_service:get_user_vector:210 - ✅ User 69241cbe006d259dc5ee4382: 19 embeddings → user vector ready
2026-01-10 20:45:37.735 | INFO     | app.services.recommendation_service:recommend:410 - 📰 Recommend 69241cbe006d259dc5ee4382: 19 interactions, 200 posts, page 2
